"hotel","is_canceled","lead_time","arrival_date_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","market_segment","distribution_channel","is_repeated_guest","booking_changes","deposit_type","customer_type","required_car_parking_spaces","total_of_special_requests","restype","room_coherence","prev_cancellations","waiting_list"
"Resort Hotel","0",62,"June",1,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",51,"June",1,2,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",58,"June",1,2,2,0,0,"HB","Direct","Direct","0",2,"No Deposit","Transient",1,1,"agent","0",0,0
"Resort Hotel","0",40,"June",1,4,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",40,"June",1,4,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",81,"June",2,5,2,1,0,"HB","Direct","Direct","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",56,"June",1,3,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",0,"June",0,4,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",6,"June",2,5,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,2,"agent","1",0,0
"Resort Hotel","0",8,"June",2,5,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",10,"June",0,3,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",19,"June",0,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",11,"June",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","0",0,0
"Resort Hotel","0",1,"June",0,2,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",94,"June",2,3,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",23,"June",2,5,2,2,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",65,"June",2,6,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",65,"June",2,6,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,2,"agent","1",0,0
"Resort Hotel","0",25,"June",3,7,2,0,0,"HB","Direct","Direct","0",1,"No Deposit","Transient",0,2,"company","1",0,0
"Resort Hotel","0",38,"June",1,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",3,"June",1,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","0",0,0
"Resort Hotel","0",19,"June",2,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,2,"agent","0",0,0
"Resort Hotel","0",44,"June",2,5,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",57,"June",2,6,2,0,0,"HB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",57,"June",2,6,2,0,0,"HB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",41,"June",2,5,2,2,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",123,"June",2,4,2,0,1,"BB","Online TA","TA/TO","0",2,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",41,"June",1,4,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",42,"June",2,5,2,0,0,"FB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",62,"June",2,5,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",0,"June",0,1,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",1,0,"company","1",0,0
"Resort Hotel","0",33,"June",0,3,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient-Party",1,1,"agent","1",0,0
"Resort Hotel","0",33,"June",0,3,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",9,"June",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient-Party",0,2,"agent","1",0,0
"Resort Hotel","0",22,"June",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient-Party",0,2,"agent","1",0,0
"Resort Hotel","0",22,"June",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient-Party",0,2,"agent","1",0,0
"Resort Hotel","0",22,"June",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient-Party",0,2,"agent","1",0,0
"Resort Hotel","0",22,"June",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient-Party",0,2,"agent","1",0,0
"Resort Hotel","0",18,"June",0,2,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",39,"June",0,2,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",43,"June",2,7,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",40,"June",0,1,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",11,"June",0,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",39,"June",0,1,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",12,"June",1,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",25,"June",2,3,2,1,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",94,"June",2,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",47,"June",2,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",38,"June",2,5,2,2,0,"HB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",51,"June",1,2,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",6,"June",1,3,2,0,0,"BB","Direct","Direct","0",5,"No Deposit","Transient",0,2,"company","1",0,0
"Resort Hotel","0",28,"June",1,3,2,0,0,"HB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",45,"June",1,3,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",1,2,"agent","1",0,0
"Resort Hotel","0",31,"June",1,3,2,0,0,"HB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",35,"June",1,5,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",32,"June",0,4,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",36,"June",0,5,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",37,"June",0,1,1,0,0,"BB","Offline TA/TO","TA/TO","0",1,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",52,"June",0,3,2,2,0,"FB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",3,"February",2,5,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",34,"February",2,5,2,0,0,"BB","Direct","Direct","0",3,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",14,"February",0,5,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",140,"February",2,5,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient-Party",1,0,"agent","0",0,0
"Resort Hotel","0",6,"February",2,5,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",2,"February",0,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",44,"February",0,4,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",9,"February",0,3,2,2,0,"HB","Online TA","TA/TO","0",2,"No Deposit","Transient",1,1,"agent","0",0,0
"Resort Hotel","0",51,"February",2,6,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",83,"February",2,2,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient-Party",0,2,"agent","1",0,0
"Resort Hotel","0",98,"February",1,1,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","0",0,0
"Resort Hotel","0",3,"February",2,2,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,3,"agent","0",0,0
"Resort Hotel","0",81,"February",2,4,2,1,1,"FB","Direct","Direct","0",0,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",112,"February",1,4,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",35,"February",1,5,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",23,"February",0,3,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Contract",0,0,"agent","0",0,0
"Resort Hotel","0",135,"February",1,3,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",87,"February",2,3,2,0,0,"BB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,2,"agent","0",0,0
"Resort Hotel","0",38,"February",0,2,3,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,2,"agent","0",0,0
"Resort Hotel","0",21,"February",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",38,"February",0,2,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",6,"February",2,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",72,"February",2,3,3,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",93,"February",2,4,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",1,"February",0,1,3,0,0,"BB","Online TA","TA/TO","0",3,"No Deposit","Transient",0,2,"agent","0",0,0
"Resort Hotel","0",91,"February",0,4,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",61,"February",1,4,3,0,0,"HB","Direct","Direct","0",0,"No Deposit","Transient",0,2,"company","0",0,0
"Resort Hotel","0",16,"February",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",24,"February",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",24,"February",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",51,"February",2,4,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",51,"February",2,4,3,0,0,"HB","Direct","Direct","0",0,"No Deposit","Transient",0,1,"company","1",0,0
"Resort Hotel","0",35,"February",2,5,3,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",37,"February",2,5,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",36,"February",2,5,2,0,0,"HB","Offline TA/TO","TA/TO","0",0,"No Deposit","Contract",0,0,"agent","1",0,0
"Resort Hotel","0",92,"February",2,1,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",6,"February",2,2,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",62,"February",2,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",84,"February",1,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",0,"February",0,1,2,2,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",1,0,"company","1",0,0
"Resort Hotel","0",49,"February",1,3,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",43,"February",2,4,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Contract",0,0,"agent","0",0,0
"Resort Hotel","0",30,"February",0,1,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,3,"agent","0",0,0
"Resort Hotel","0",23,"February",0,2,2,0,0,"FB","Direct","Direct","0",1,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",28,"February",2,5,2,0,0,"HB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",0,"February",1,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",41,"February",1,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",6,"February",1,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",28,"February",1,2,2,0,1,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",48,"December",0,3,2,0,0,"HB","Direct","Direct","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",27,"December",2,5,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Contract",0,0,"agent","1",0,0
"Resort Hotel","0",27,"December",2,6,2,2,0,"BB","Online TA","TA/TO","0",2,"No Deposit","Transient-Party",0,1,"agent","1",0,0
"Resort Hotel","0",27,"December",2,6,2,0,0,"BB","Online TA","TA/TO","0",2,"No Deposit","Transient-Party",0,1,"agent","1",0,0
"Resort Hotel","0",1,"December",0,2,2,0,0,"BB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",57,"December",0,1,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","0",0,0
"Resort Hotel","0",29,"December",1,3,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Contract",0,0,"agent","0",0,0
"Resort Hotel","0",92,"December",2,7,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",163,"December",2,5,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",0,"December",0,1,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",88,"December",0,2,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",0,"December",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"company","1",0,0
"Resort Hotel","0",3,"December",1,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,2,"agent","1",0,0
"Resort Hotel","0",63,"December",2,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",51,"December",3,7,2,0,0,"HB","Offline TA/TO","TA/TO","0",0,"No Deposit","Contract",1,0,"agent","1",0,0
"Resort Hotel","0",52,"December",2,5,2,0,0,"FB","Offline TA/TO","TA/TO","0",1,"No Deposit","Transient",1,0,"agent","0",0,0
"Resort Hotel","0",25,"December",2,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",110,"December",2,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,0,"agent","1",0,0
"Resort Hotel","0",61,"December",2,4,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",61,"December",2,4,3,0,0,"BB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,3,"agent","1",0,0
"Resort Hotel","0",90,"December",1,3,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",30,"December",13,33,2,0,0,"SC","Online TA","TA/TO","0",17,"No Deposit","Transient",0,1,"agent","0",0,0
"Resort Hotel","0",0,"December",0,1,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",1,0,"company","1",0,0
"Resort Hotel","0",48,"December",0,2,2,0,0,"BB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",0,"December",0,1,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",1,"December",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",9,"December",2,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,2,"agent","1",0,0
"Resort Hotel","0",12,"December",2,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","1",123,"December",2,4,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",0,"December",0,1,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",1,0,"company","1",0,0
"Resort Hotel","0",0,"December",0,1,1,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",42,"December",0,3,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",72,"December",0,3,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",1,"December",0,4,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","1",0,0
"Resort Hotel","0",6,"December",0,1,2,0,0,"BB","Offline TA/TO","TA/TO","0",0,"No Deposit","Contract",1,0,"agent","1",0,0
"Resort Hotel","0",71,"December",1,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",71,"December",2,3,2,0,1,"HB","Offline TA/TO","TA/TO","0",1,"No Deposit","Transient",0,2,"agent","1",0,0
"Resort Hotel","0",83,"December",2,5,2,0,0,"HB","Offline TA/TO","TA/TO","0",0,"No Deposit","Transient",0,0,"agent","0",0,0
"Resort Hotel","0",36,"December",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,3,"agent","0",0,0
"Resort Hotel","0",0,"December",0,1,2,0,0,"BB","Direct","Direct","0",0,"No Deposit","Transient",0,0,"company","1",0,0
"Resort Hotel","0",9,"December",0,2,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",1,1,"agent","0",0,0
"Resort Hotel","0",8,"December",0,2,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",0,1,"agent","1",0,0
"Resort Hotel","0",8,"December",0,2,2,0,0,"HB","Online TA","TA/TO","0",1,"No Deposit","Transient",1,1,"agent","1",0,0
"Resort Hotel","0",1,"December",1,1,2,0,0,"BB","Online TA","TA/TO","0",0,"No Deposit","Transient",0,1,"agent","0",0,0
